,ID,Address,Rental Price,Rooms,Bath,SQFT
345,3991476,39 East 1st Street #5,5660.0,1.0,1.5,650.0
346,3969836,337 East 13th Street #9,6400.0,3.0,1.0,
347,3969033,103 Avenue A #1,5700.0,3.0,1.0,
348,3985688,190 East 7th Street #313,5730.0,3.0,1.0,
349,3985672,190 East 7th Street #414,5750.0,3.0,1.0,
350,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
351,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
352,3987761,200 East 11th Street #401,6095.0,1.0,1.0,
353,3983186,123 East 7th Street #1A,6300.0,3.0,2.0,
354,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
355,3985706,190 East 7th Street #510,5775.0,3.0,1.0,
356,3919302,65 Cooper Square #2H,5800.0,1.0,1.5,735.0
357,3958659,622 East 11th Street #21-22,5800.0,4.0,2.0,
358,3963142,145 Fourth Avenue #12B,5800.0,1.0,1.0,900.0
359,3997862,236 East Third Street #1C,5800.0,4.0,2.0,
360,4004382,200 East 11th Street #804,6150.0,1.0,1.0,
361,4004434,233 East Third Street #1H,7000.0,3.0,2.0,
362,4005606,233 East Third Street #G,7000.0,2.0,1.0,
363,3968847,440 East Sixth Street #5B,5900.0,3.0,1.0,
364,4004463,77 East 3rd Street #4L,3299.0,1.0,1.0,
365,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
366,3968847,440 East Sixth Street #5B,5900.0,3.0,1.0,
367,4007895,105A East 9th Street #105A,5900.0,2.0,1.0,
368,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
369,4002610,200 Second Avenue #60,6400.0,3.0,1.0,
370,3919879,138 East 12th Street #2B,5995.0,1.0,1.0,556.0
371,3969345,194 East 2nd Street #3F,5995.0,2.0,1.0,
372,3997806,56 Saint Marks Place #6B,5995.0,3.0,1.0,
373,3999165,222 East Third Street #1B,5995.0,3.0,1.0,
374,4002858,188 Avenue B #4,5995.0,3.0,2.0,
375,4005736,194 East 2nd Street #5M,5995.0,2.0,1.0,
376,3930778,624 East 9th Street #3,6000.0,3.0,2.0,
377,3938716,271 East Seventh Street #3,6000.0,1.0,1.0,1200.0
378,4004403,322 East Sixth Street #1,2400.0,0.0,1.0,
379,3968969,303 East 9th Street #2CF,3400.0,1.0,1.0,
380,3991081,127 Avenue D #2,6000.0,2.0,2.0,
381,4004107,327 East 12th Street #9,8000.0,3.0,2.0,
382,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
383,4004108,253 East 10th Street #17,8000.0,3.0,2.0,
384,3949173,11 East First Street #201,6050.0,1.0,1.0,633.0
385,4001587,332 East 4th Street #41,7300.0,4.0,2.0,
386,3996270,138 East 12th Street #3G,6095.0,1.0,1.0,558.0
387,3996975,256 East 10th Street #PH6,6150.0,3.0,2.0,
388,3996929,11 East First Street #818,6198.0,1.0,1.0,702.0
389,3937484,22 East 1st Street #607,6245.0,1.0,1.0,723.0
390,3985182,176 East Third Street #6I,6550.0,3.0,1.0,
391,4002455,200 Second Avenue #20,6650.0,3.0,1.0,
392,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
